soc_id,soc
0,111011
1,111021
2,111031
3,112011
4,112021
5,112022
6,112032
7,112033
8,113012
9,113013
10,113021
11,113031
12,113051
13,113061
14,113071
15,113111
16,113121
17,113131
18,119013
19,119021
20,119031
21,119032
22,119033
23,119039
24,119041
25,119051
26,119071
27,119072
28,119081
29,119111
30,119121
31,119131
32,119141
33,119151
34,119161
35,119171
36,119179
37,119199
38,131011
39,131021
40,131022
41,131023
42,131031
43,131032
44,131041
45,131051
46,131071
47,131074
48,131075
49,131081
50,131082
51,131111
52,131121
53,131131
54,131141
55,131151
56,131161
57,131199
58,132011
59,132022
60,132023
61,132031
62,132041
63,132051
64,132052
65,132053
66,132054
67,132061
68,132071
69,132072
70,132081
71,132082
72,132099
73,151211
74,151212
75,151221
76,151231
77,151232
78,151241
79,151242
80,151243
81,151244
82,151251
83,151252
84,151253
85,151254
86,151255
87,151299
88,152011
89,152021
90,152031
91,152041
92,152051
93,152099
94,171011
95,171012
96,171021
97,171022
98,172011
99,172021
100,172031
101,172041
102,172051
103,172061
104,172071
105,172072
106,172081
107,172111
108,172112
109,172121
110,172131
111,172141
112,172151
113,172161
114,172171
115,172199
116,173011
117,173012
118,173013
119,173019
120,173021
121,173022
122,173023
123,173024
124,173025
125,173026
126,173027
127,173028
128,173029
129,173031
130,191011
131,191012
132,191013
133,191021
134,191022
135,191023
136,191029
137,191031
138,191032
139,191041
140,191042
141,191099
142,192011
143,192012
144,192021
145,192031
146,192032
147,192041
148,192042
149,192043
150,192099
151,193011
152,193022
153,193032
154,193033
155,193034
156,193039
157,193041
158,193051
159,193091
160,193092
161,193093
162,193094
163,193099
164,194012
165,194013
166,194021
167,194031
168,194042
169,194043
170,194044
171,194051
172,194061
173,194071
174,194092
175,194099
176,195011
177,195012
178,211011
179,211012
180,211013
181,211014
182,211015
183,211019
184,211021
185,211022
186,211023
187,211029
188,211091
189,211092
190,211093
191,211094
192,211099
193,212011
194,212021
195,212099
196,231011
197,231012
198,231021
199,231022
200,231023
201,232011
202,232093
203,232099
204,251011
205,251021
206,251022
207,251031
208,251032
209,251041
210,251042
211,251043
212,251051
213,251052
214,251053
215,251054
216,251061
217,251062
218,251063
219,251064
220,251065
221,251066
222,251067
223,251069
224,251071
225,251072
226,251081
227,251082
228,251111
229,251112
230,251113
231,251121
232,251122
233,251123
234,251124
235,251125
236,251126
237,251192
238,251193
239,251194
240,251199
241,252011
242,252012
243,252021
244,252022
245,252023
246,252031
247,252032
248,252051
249,252055
250,252056
251,252057
252,252058
253,252059
254,253011
255,253021
256,253031
257,253041
258,253099
259,254011
260,254012
261,254013
262,254022
263,254031
264,259021
265,259031
266,259042
267,259043
268,259044
269,259049
270,259099
271,271011
272,271012
273,271013
274,271014
275,271019
276,271021
277,271022
278,271023
279,271024
280,271025
281,271026
282,271027
283,271029
284,272011
285,272012
286,272021
287,272022
288,272023
289,272031
290,272032
291,272041
292,272042
293,272091
294,272099
295,273011
296,273023
297,273031
298,273041
299,273042
300,273043
301,273091
302,273092
303,273099
304,274011
305,274012
306,274014
307,274015
308,274021
309,274031
310,274032
311,274099
312,291011
313,291021
314,291022
315,291023
316,291024
317,291029
318,291031
319,291041
320,291051
321,291071
322,291081
323,291122
324,291123
325,291124
326,291125
327,291126
328,291127
329,291128
330,291129
331,291131
332,291141
333,291151
334,291161
335,291171
336,291181
337,291211
338,291212
339,291213
340,291214
341,291215
342,291216
343,291217
344,291218
345,291221
346,291222
347,291223
348,291224
349,291229
350,291241
351,291242
352,291243
353,291249
354,291291
355,291292
356,291299
357,292011
358,292012
359,292031
360,292032
361,292033
362,292034
363,292035
364,292036
365,292042
366,292043
367,292051
368,292052
369,292053
370,292055
371,292056
372,292057
373,292061
374,292072
375,292081
376,292091
377,292092
378,292099
379,299021
380,299091
381,299092
382,299093
383,299099
384,311121
385,311122
386,311131
387,311132
388,311133
389,312011
390,312012
391,312021
392,312022
393,319011
394,319091
395,319092
396,319093
397,319094
398,319095
399,319096
400,319097
401,319099
402,331011
403,331012
404,331021
405,331091
406,331099
407,332011
408,332021
409,332022
410,333011
411,333012
412,333021
413,333031
414,333041
415,333051
416,333052
417,339011
418,339021
419,339031
420,339032
421,339091
422,339092
423,339093
424,339094
425,339099
426,351011
427,351012
428,352011
429,352012
430,352013
431,352014
432,352015
433,352019
434,352021
435,353011
436,353023
437,353031
438,353041
439,359011
440,359021
441,359031
442,359099
443,371011
444,371012
445,372011
446,372012
447,372019
448,372021
449,373011
450,373012
451,373013
452,373019
453,391013
454,391014
455,391022
456,392011
457,392021
458,393011
459,393012
460,393019
461,393021
462,393031
463,393091
464,393092
465,393093
466,393099
467,394011
468,394012
469,394021
470,394031
471,395011
472,395012
473,395091
474,395092
475,395093
476,395094
477,396011
478,396012
479,397011
480,397012
481,399011
482,399031
483,399032
484,399041
485,399099
486,411011
487,411012
488,412011
489,412012
490,412021
491,412022
492,412031
493,413011
494,413021
495,413031
496,413041
497,413091
498,414011
499,414012
500,419011
501,419012
502,419021
503,419022
504,419031
505,419041
506,419091
507,419099
508,431011
509,432011
510,432021
511,432099
512,433011
513,433021
514,433031
515,433041
516,433051
517,433061
518,433071
519,433099
520,434011
521,434021
522,434031
523,434041
524,434051
525,434061
526,434071
527,434081
528,434111
529,434121
530,434131
531,434141
532,434151
533,434161
534,434171
535,434181
536,434199
537,435011
538,435021
539,435031
540,435032
541,435041
542,435051
543,435052
544,435053
545,435061
546,435071
547,435111
548,436011
549,436012
550,436013
551,436014
552,439021
553,439022
554,439031
555,439041
556,439051
557,439061
558,439071
559,439081
560,439111
561,439199
562,451011
563,452011
564,452021
565,452041
566,452091
567,452092
568,452093
569,452099
570,453031
571,454011
572,454021
573,454022
574,454023
575,454029
576,471011
577,472011
578,472021
579,472022
580,472031
581,472041
582,472042
